"country","scenario","species","crop","variable","units","y_2014","y_2015","y_2016","y_2017","y_2018"
0,0,"0","0","Cropland area","Hectares","40500000","40500000","40500000","40500000","40500000"
0,0,"0","0","Grassland area","Hectares","27970244","28133550","28296852.1","28460150","28623450"
0,0,"0","0","Ammonia, anhydrous","Tonnes","0","0","0","0","0"
0,0,"0","0","Ammonia, anhydrous","Tonnes N","0","0","0","0","0"
0,0,"0","0","Ammonia, anhydrous","NH3 EF kg NH3 kg N-1","0.02","0.02","0","0","0"
0,0,"0","0","Ammonia, anhydrous","NO EF kg NO2 kg N-1","0.04","0.04","0.04","0.04","0.04"
0,0,"0","0","Ammonia, anhydrous","N2O direct EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","Ammonia, anhydrous","N2O indirect vol EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","Ammonia, anhydrous","N2O indirect leach EF kg N2O kg N-1","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143"
0,0,"0","0","Ammonia, anhydrous","Fraction leached","0.3","0.3","0.3","0.3","0.3"
0,0,"0","0","Ammonia, anhydrous","kg NH3 req per tonne fertiliser","1000","1000","1000","1000","1000"
0,0,"0","0","Ammonia, anhydrous","kg HNO3 req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Ammonia, anhydrous","kg urea req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Ammonia, anhydrous","kg ammonium nitrate req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Ammonia, anhydrous","kg map req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Ammonia, anhydrous","kg dap req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Ammonia, anhydrous","conversion tonnes N to tonnes fertiliser","1.22","1.22","1.22","1.22","1.22"
0,0,"0","0","Ammonium nitrate (AN)","Tonnes","0","0","0","0","0"
0,0,"0","0","Ammonium nitrate (AN)","Tonnes N","0","0","0","0","0"
