"country","scenario","species","mgmt","animal","cohort","feed","variable","units","y_2014","y_2015","y_2016","y_2017","y_2018"
0,0,"sheep","mixed","non-dairy","AF","GRASSF",0,0,"51","51","51","51","51"
0,0,"sheep","mixed","non-dairy","AF","GRASSH",0,0,"23.4","23.4","23.4","23.4","23.4"
0,0,"sheep","mixed","non-dairy","AF","GRASSLEGF",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","GRASSLEGH",0,0,"8.3","8.3","8.3","8.3","8.3"
0,0,"sheep","mixed","non-dairy","AF","ALFALFAH",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","GRAINSIL",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","MAIZESIL",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","WSTRAW",0,0,"9.8","9.8","9.8","9.8","9.8"
0,0,"sheep","mixed","non-dairy","AF","ZSTOVER",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","MSTOVER",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","SSTOVER",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","RSTRAW",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","BSTRAW",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","TOPS",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","FDDRBEET",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","CORN",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","GRAINS",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","MLSOY",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","MLRAPE",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","MLCTTN",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","BPULP",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","PKEXP",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","MOLASSES",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","MZGLTM",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","MZGLTF",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","GRNBYDRY",0,0,"0.9","0.9","0.9","0.9","0.9"
0,0,"sheep","mixed","non-dairy","AF","GRNBYWET",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","CONC",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AF","LEAVES",0,0,"6.6","6.6","6.6","6.6","6.6"
0,0,"sheep","mixed","non-dairy","AF","GRASSH2",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","GRASSF",0,0,"51","51","51","51","51"
0,0,"sheep","mixed","non-dairy","RF","GRASSH",0,0,"23.4","23.4","23.4","23.4","23.4"
0,0,"sheep","mixed","non-dairy","RF","GRASSLEGF",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","GRASSLEGH",0,0,"8.3","8.3","8.3","8.3","8.3"
0,0,"sheep","mixed","non-dairy","RF","ALFALFAH",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","GRAINSIL",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","MAIZESIL",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","WSTRAW",0,0,"9.8","9.8","9.8","9.8","9.8"
0,0,"sheep","mixed","non-dairy","RF","ZSTOVER",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","MSTOVER",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","SSTOVER",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","RSTRAW",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","BSTRAW",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","TOPS",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","FDDRBEET",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","CORN",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","GRAINS",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","MLSOY",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","MLRAPE",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","MLCTTN",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","BPULP",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","PKEXP",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","MOLASSES",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","MZGLTM",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","MZGLTF",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","GRNBYDRY",0,0,"0.9","0.9","0.9","0.9","0.9"
0,0,"sheep","mixed","non-dairy","RF","GRNBYWET",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","CONC",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","RF","LEAVES",0,0,"6.6","6.6","6.6","6.6","6.6"
0,0,"sheep","mixed","non-dairy","RF","GRASSH2",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AM","GRASSF",0,0,"51","51","51","51","51"
0,0,"sheep","mixed","non-dairy","AM","GRASSH",0,0,"23.4","23.4","23.4","23.4","23.4"
0,0,"sheep","mixed","non-dairy","AM","GRASSLEGF",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AM","GRASSLEGH",0,0,"8.3","8.3","8.3","8.3","8.3"
0,0,"sheep","mixed","non-dairy","AM","ALFALFAH",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AM","GRAINSIL",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AM","MAIZESIL",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AM","WSTRAW",0,0,"9.8","9.8","9.8","9.8","9.8"
0,0,"sheep","mixed","non-dairy","AM","ZSTOVER",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AM","MSTOVER",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AM","SSTOVER",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AM","RSTRAW",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AM","BSTRAW",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AM","TOPS",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AM","FDDRBEET",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AM","CORN",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AM","GRAINS",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AM","MLSOY",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AM","MLRAPE",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AM","MLCTTN",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AM","BPULP",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AM","PKEXP",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AM","MOLASSES",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AM","MZGLTM",0,0,"0","0","0","0","0"
0,0,"sheep","mixed","non-dairy","AM","MZGLTF",0,0,"0","0","0","0","0"
