"country","scenario","sex","age","disease","variable","units","y_2014","y_2015","y_2016","y_2017","y_2018"
0,0,"All","0","0","Malnutrition Calorie Cutoff","kcal/day","1850","1850","1850","1850","1850"
0,0,"All","0","0","Crude birth rate","Births per person","0.04052","0.04052","0.038098","0.038098","0.038098"
0,0,"All","0","0","LBW prop","fraction","0.140291421743008","0.140291421743008","0.140291421743008","0.140291421743008","0.140291421743008"
0,0,"Both","Neonatal","All causes","Mortality Rate","Rate","0.555782966538303","0.547763597681235","0.536301526573175","0.52199852725046","0.508666499113994"
0,0,"All","0-4","0","Fraction total population","Fraction total population","0.172776590498109","0.171870859464712","0.171170299148746","0.169810134540425","0.168051052967454"
0,0,"All","0-4","0","Female Fraction","Female fraction of population in age group","0.488467469405164","0.488404214313247","0.488297571549747","0.48818338886832","0.488106449554941"
0,0,"Male","0-4","Acute lymphoid leukemia","Mortality Rate","Rate","1.22723776970223e-05","1.22243528431184e-05","1.22208924517584e-05","1.17717196239361e-05","1.14622342532587e-05"
0,0,"Female","0-4","Acute lymphoid leukemia","Mortality Rate","Rate","1.1706293504517e-06","1.17355912742353e-06","1.19038496651337e-06","1.15140880322385e-06","1.11537006551028e-06"
0,0,"Male","0-4","Acute myeloid leukemia","Mortality Rate","Rate","1.74596849623924e-05","1.74047181063704e-05","1.75951834948241e-05","1.68796749659313e-05","1.61048851205579e-05"
0,0,"Female","0-4","Acute myeloid leukemia","Mortality Rate","Rate","7.64135682445319e-07","7.73575962455601e-07","7.90134705276574e-07","7.68656457587836e-07","7.46981440343826e-07"
0,0,"Male","0-4","Alzheimer's disease and other dementias","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Female","0-4","Alzheimer's disease and other dementias","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Male","0-4","Asthma","Mortality Rate","Rate","2.08134601243353e-05","2.07101272183555e-05","2.08060127692401e-05","1.96578706073472e-05","1.83720222579098e-05"
0,0,"Female","0-4","Asthma","Mortality Rate","Rate","1.3248910017768e-05","1.317111554161e-05","1.33928625040681e-05","1.27090537120742e-05","1.19474104636418e-05"
0,0,"Male","0-4","Atrial fibrillation and flutter","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Female","0-4","Atrial fibrillation and flutter","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Male","0-4","Breast cancer","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Female","0-4","Breast cancer","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Male","0-4","Cardiovascular diseases","Mortality Rate","Rate","0.00010037622551843","0.00010464336290157","0.000103385076809708","9.90095603221649e-05","9.52789730780703e-05"
0,0,"Female","0-4","Cardiovascular diseases","Mortality Rate","Rate","9.29418353768438e-05","9.72184020534469e-05","9.70397051778239e-05","9.31265323673769e-05","8.95895608142539e-05"
0,0,"Male","0-4","Cataract","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Female","0-4","Cataract","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Male","0-4","Chronic kidney disease due to diabetes mellitus type 2","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Female","0-4","Chronic kidney disease due to diabetes mellitus type 2","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Male","0-4","Chronic kidney disease due to glomerulonephritis","Mortality Rate","Rate","1.71590128468311e-05","1.73183756669538e-05","1.83154614345903e-05","1.82921292026205e-05","1.72181700803947e-05"
0,0,"Female","0-4","Chronic kidney disease due to glomerulonephritis","Mortality Rate","Rate","1.80772615608574e-05","1.80941172841531e-05","1.91478684245119e-05","1.90636952145143e-05","1.79497900921009e-05"
0,0,"Male","0-4","Chronic kidney disease due to hypertension","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Female","0-4","Chronic kidney disease due to hypertension","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Male","0-4","Chronic kidney disease due to other and unspecified causes","Mortality Rate","Rate","1.76409895179749e-05","1.76889504590054e-05","1.7160192489029e-05","1.56175888586783e-05","1.5136557912117e-05"
0,0,"Female","0-4","Chronic kidney disease due to other and unspecified causes","Mortality Rate","Rate","2.03940857811426e-05","2.0352884557081e-05","1.97156548799662e-05","1.7861464354923e-05","1.72518371463535e-05"
0,0,"Male","0-4","Chronic lymphoid leukemia","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Female","0-4","Chronic lymphoid leukemia","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Male","0-4","Chronic myeloid leukemia","Mortality Rate","Rate","1.51250900768751e-06","1.47012025605921e-06","1.44019165650939e-06","1.34284833055369e-06","1.26011455013525e-06"
0,0,"Female","0-4","Chronic myeloid leukemia","Mortality Rate","Rate","1.26744667555304e-06","1.26143069476244e-06","1.27996984117477e-06","1.2170937860185e-06","1.15235889707095e-06"
0,0,"Male","0-4","Colon and rectum cancer","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Female","0-4","Colon and rectum cancer","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Male","0-4","Diabetes mellitus type 2","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Female","0-4","Diabetes mellitus type 2","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Male","0-4","Esophageal cancer","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Female","0-4","Esophageal cancer","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Male","0-4","Gallbladder and biliary diseases","Mortality Rate","Rate","1.33597481133526e-06","1.31695288120599e-06","1.32602550559624e-06","1.27789882792052e-06","1.22005510044414e-06"
0,0,"Female","0-4","Gallbladder and biliary diseases","Mortality Rate","Rate","1.1262070551502e-05","1.1073357659805e-05","1.12590739260124e-05","1.09024392053582e-05","1.04232511767475e-05"
0,0,"Male","0-4","Gallbladder and biliary tract cancer","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Female","0-4","Gallbladder and biliary tract cancer","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Male","0-4","Gout","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Female","0-4","Gout","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Male","0-4","Hypertensive heart disease","Mortality Rate","Rate","0","0","0","0","0"
0,0,"Female","0-4","Hypertensive heart disease","Mortality Rate","Rate","0","0","0","0","0"
