"country","scenario","species","mgmt","animal","cohort","variable","units","y_2014","y_2015","y_2016","y_2017","y_2018"
0,0,"cattle","mixed","all","0","mgmt proportion all","fraction","0.924482527361982","0.924482527361982","0.924482527361982","0.924482527361982","0.924482527361982"
0,0,"cattle","grassland","all","0","mgmt proportion all","fraction","0.0755174726380184","0.0755174726380184","0.0755174726380184","0.0755174726380184","0.0755174726380184"
0,0,"cattle","mixed","dairy","AF","mgmt proportion AF dairy","fraction","0.924482527361982","0.924482527361982","0.924482527361982","0.924482527361982","0.924482527361982"
0,0,"cattle","grassland","dairy","AF","mgmt proportion AF dairy","fraction","0.0755174726380184","0.0755174726380184","0.0755174726380184","0.0755174726380184","0.0755174726380184"
0,0,"cattle","grassland","0","0","FNUM fraction","fraction","0","0","0","0","0"
0,0,"cattle","mixed","0","0","FNUM fraction","fraction","0","0","0","0","0"
0,0,"cattle","mixed","dairy","0","MFR","fraction","0.69","0.69","0.69","0.69","0.69"
0,0,"cattle","mixed","beef","0","MFR","fraction","0.69","0.69","0.69","0.69","0.69"
0,0,"cattle","grassland","dairy","0","MFR","fraction","0.1","0.1","0.1","0.1","0.1"
0,0,"cattle","grassland","beef","0","MFR","fraction","0.1","0.1","0.1","0.1","0.1"
0,0,"cattle","grassland","dairy","0","Ckg","kg","20","20","20","20","20"
0,0,"cattle","mixed","dairy","0","Ckg","kg","20","20","20","20","20"
0,0,"cattle","grassland","beef","0","Ckg","kg","21","21","21","21","21"
0,0,"cattle","mixed","beef","0","Ckg","kg","21","21","21","21","21"
0,0,"cattle","grassland","dairy","0","AFkg","kg","287","287","287","287","287"
0,0,"cattle","mixed","dairy","0","AFkg","kg","287","287","287","287","287"
0,0,"cattle","grassland","beef","0","AFkg","kg","250","250","250","250","250"
0,0,"cattle","mixed","beef","0","AFkg","kg","250","250","250","250","250"
0,0,"cattle","grassland","dairy","0","AMkg","kg","329","329","329","329","329"
0,0,"cattle","mixed","dairy","0","AMkg","kg","329","329","329","329","329"
0,0,"cattle","grassland","beef","0","AMkg","kg","341","341","341","341","341"
0,0,"cattle","mixed","beef","0","AMkg","kg","341","341","341","341","341"
0,0,"cattle","grassland","dairy","0","MFSkg","kg","210","210","210","210","210"
0,0,"cattle","mixed","dairy","0","MFSkg","kg","210","210","210","210","210"
0,0,"cattle","grassland","beef","0","MFSkg","kg","235","235","235","235","235"
0,0,"cattle","mixed","beef","0","MFSkg","kg","235","235","235","235","235"
0,0,"cattle","grassland","dairy","0","MMSkg","kg","210","210","210","210","210"
0,0,"cattle","mixed","dairy","0","MMSkg","kg","210","210","210","210","210"
0,0,"cattle","grassland","beef","0","MMSkg","kg","254","254","254","254","254"
0,0,"cattle","mixed","beef","0","MMSkg","kg","254","254","254","254","254"
0,0,"cattle","grassland","dairy","0","DR1","kg","10.3","10.3","10.3","10.3","10.3"
0,0,"cattle","mixed","dairy","0","DR1","kg","10.3","10.3","10.3","10.3","10.3"
0,0,"cattle","grassland","beef","0","DR1","kg","15.5","15.5","15.5","15.5","15.5"
0,0,"cattle","mixed","beef","0","DR1","kg","15.5","15.5","15.5","15.5","15.5"
0,0,"cattle","grassland","dairy","0","DR1m","kg","10.3","10.3","10.3","10.3","10.3"
0,0,"cattle","mixed","dairy","0","DR1m","kg","10.3","10.3","10.3","10.3","10.3"
0,0,"cattle","grassland","beef","0","DR1m","kg","15.5","15.5","15.5","15.5","15.5"
0,0,"cattle","mixed","beef","0","DR1m","kg","15.5","15.5","15.5","15.5","15.5"
0,0,"cattle","grassland","dairy","0","DR2","kg","4.8","4.8","4.8","4.8","4.8"
0,0,"cattle","mixed","dairy","0","DR2","kg","4.8","4.8","4.8","4.8","4.8"
0,0,"cattle","grassland","beef","0","DR2","kg","5.3","5.3","5.3","5.3","5.3"
0,0,"cattle","mixed","beef","0","DR2","kg","5.3","5.3","5.3","5.3","5.3"
0,0,"cattle","grassland","dairy","0","FR","kg","61.8","61.8","61.8","61.8","61.8"
0,0,"cattle","mixed","dairy","0","FR","kg","61.8","61.8","61.8","61.8","61.8"
0,0,"cattle","grassland","beef","0","FR","kg","58","58","58","58","58"
0,0,"cattle","mixed","beef","0","FR","kg","58","58","58","58","58"
0,0,"cattle","grassland","dairy","0","FRRF","kg","0.95","0.95","0.95","0.95","0.95"
0,0,"cattle","mixed","dairy","0","FRRF","kg","0.95","0.95","0.95","0.95","0.95"
0,0,"cattle","grassland","beef","0","FRRF","kg","0.95","0.95","0.95","0.95","0.95"
0,0,"cattle","mixed","beef","0","FRRF","kg","0.95","0.95","0.95","0.95","0.95"
0,0,"cattle","grassland","dairy","0","RRF","kg","8.3","8.3","8.3","8.3","8.3"
0,0,"cattle","mixed","dairy","0","RRF","kg","8.3","8.3","8.3","8.3","8.3"
0,0,"cattle","grassland","beef","0","RRF","kg","9","9","9","9","9"
0,0,"cattle","mixed","beef","0","RRF","kg","9","9","9","9","9"
0,0,"cattle","grassland","dairy","0","AFC","kg","4.1","4.1","4.1","4.1","4.1"
0,0,"cattle","mixed","dairy","0","AFC","kg","4.1","4.1","4.1","4.1","4.1"
0,0,"cattle","grassland","beef","0","AFC","kg","4.1","4.1","4.1","4.1","4.1"
0,0,"cattle","mixed","beef","0","AFC","kg","4.1","4.1","4.1","4.1","4.1"
0,0,"cattle","0","beef","0","FATTDAY","year","130","130","130","130","130"
0,0,"cattle","0","beef","0","LWSTARTF","kg","0","0","0","0","0"
0,0,"cattle","0","beef","0","LWENDF","kg","0","0","0","0","0"
0,0,"cattle","0","beef","0","LWSTARTM","kg","0","0","0","0","0"
0,0,"cattle","0","beef","0","LWENDM","kg","0","0","0","0","0"
0,0,"cattle","0","0","0","Milk fat content","%","4.3","4.3","4.3","4.3","4.3"
0,0,"cattle","0","0","0","Milk protein content","%","3.5","3.5","3.5","3.5","3.5"
0,0,"cattle","0","0","AF","Cmain","Mj kg-0.75 day-1","0.386","0.386","0.386","0.386","0.386"
0,0,"cattle","0","0","AM","Cmain","Mj kg-0.75 day-1","0.386","0.386","0.386","0.386","0.386"
0,0,"cattle","0","0","RF","Cmain","Mj kg-0.75 day-1","0.322","0.322","0.322","0.322","0.322"
0,0,"cattle","0","0","MF","Cmain","Mj kg-0.75 day-1","0.322","0.322","0.322","0.322","0.322"
0,0,"cattle","0","0","MFf","Cmain","Mj kg-0.75 day-1","0.322","0.322","0.322","0.322","0.322"
0,0,"cattle","0","0","RM","Cmain","Mj kg-0.75 day-1","0.37","0.37","0.37","0.37","0.37"
