"country","scenario","species","mgmt","animal","cohort","manure","variable","units","y_2014","y_2015","y_2016","y_2017","y_2018"
0,0,"cattle","mixed","beef",0,"pasture","Manure mgmt system","Percent","47","47","47","47","47"
0,0,"cattle","mixed","beef",0,"daily_spread","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","beef",0,"solid_storage","Manure mgmt system","Percent","13","13","13","13","13"
0,0,"cattle","mixed","beef",0,"dry_lot","Manure mgmt system","Percent","34","34","34","34","34"
0,0,"cattle","mixed","beef",0,"liquid_slurry","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","beef",0,"liquid_slurry_crust","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","beef",0,"anaerobic_lagoon","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","beef",0,"pitstorage_less1month","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","beef",0,"pitstorage_greater1month","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","beef",0,"pitstorage_greater1month_chickens","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","beef",0,"anaerobic_digester","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","beef",0,"composting","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","beef",0,"burned_fuel","Manure mgmt system","Percent","6","6","6","6","6"
0,0,"cattle","mixed","beef",0,"poultry_with_litter","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","dairy",0,"pasture","Manure mgmt system","Percent","40","40","40","40","40"
0,0,"cattle","mixed","dairy",0,"daily_spread","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","dairy",0,"solid_storage","Manure mgmt system","Percent","18","18","18","18","18"
0,0,"cattle","mixed","dairy",0,"dry_lot","Manure mgmt system","Percent","35","35","35","35","35"
0,0,"cattle","mixed","dairy",0,"liquid_slurry","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","dairy",0,"liquid_slurry_crust","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","dairy",0,"anaerobic_lagoon","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","dairy",0,"pitstorage_less1month","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","dairy",0,"pitstorage_greater1month","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","dairy",0,"pitstorage_greater1month_chickens","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","dairy",0,"anaerobic_digester","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","dairy",0,"composting","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","dairy",0,"burned_fuel","Manure mgmt system","Percent","7","7","7","7","7"
0,0,"cattle","mixed","dairy",0,"poultry_with_litter","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","feedlot",0,"pasture","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","feedlot",0,"daily_spread","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","feedlot",0,"solid_storage","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","feedlot",0,"dry_lot","Manure mgmt system","Percent","100","100","100","100","100"
0,0,"cattle","mixed","feedlot",0,"liquid_slurry","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","feedlot",0,"liquid_slurry_crust","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","feedlot",0,"anaerobic_lagoon","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","feedlot",0,"pitstorage_less1month","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","feedlot",0,"pitstorage_greater1month","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","feedlot",0,"pitstorage_greater1month_chickens","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","feedlot",0,"anaerobic_digester","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","feedlot",0,"composting","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","feedlot",0,"burned_fuel","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","mixed","feedlot",0,"poultry_with_litter","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","grassland","beef",0,"pasture","Manure mgmt system","Percent","47","47","47","47","47"
0,0,"cattle","grassland","beef",0,"daily_spread","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"cattle","grassland","beef",0,"solid_storage","Manure mgmt system","Percent","13","13","13","13","13"
0,0,"cattle","grassland","beef",0,"dry_lot","Manure mgmt system","Percent","34","34","34","34","34"
