"country","scenario","species","mgmt","animal","cohort","manure","variable","units","y_2014","y_2015","y_2016","y_2017","y_2018"
0,0,"pig","backyard",0,0,"pasture","Manure mgmt system","Percent","5","5","5","5","5"
0,0,"pig","backyard",0,0,"daily_spread","Manure mgmt system","Percent","5","5","5","5","5"
0,0,"pig","backyard",0,0,"solid_storage","Manure mgmt system","Percent","15","15","15","15","15"
0,0,"pig","backyard",0,0,"dry_lot","Manure mgmt system","Percent","15","15","15","15","15"
0,0,"pig","backyard",0,0,"liquid_slurry","Manure mgmt system","Percent","15","15","15","15","15"
0,0,"pig","backyard",0,0,"liquid_slurry_crust","Manure mgmt system","Percent","15","15","15","15","15"
0,0,"pig","backyard",0,0,"anaerobic_lagoon","Manure mgmt system","Percent","5","5","5","5","5"
0,0,"pig","backyard",0,0,"pitstorage_less1month","Manure mgmt system","Percent","15","15","15","15","15"
0,0,"pig","backyard",0,0,"pitstorage_greater1month","Manure mgmt system","Percent","5","5","5","5","5"
0,0,"pig","backyard",0,0,"pitstorage_greater1month_chickens","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"pig","backyard",0,0,"anaerobic_digester","Manure mgmt system","Percent","5","5","5","5","5"
0,0,"pig","backyard",0,0,"composting","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"pig","backyard",0,0,"burned_fuel","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"pig","backyard",0,0,"poultry_with_litter","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"pig","intermediate",0,0,"pasture","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"pig","intermediate",0,0,"daily_spread","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"pig","intermediate",0,0,"solid_storage","Manure mgmt system","Percent","6","6","6","6","6"
0,0,"pig","intermediate",0,0,"dry_lot","Manure mgmt system","Percent","87","87","87","87","87"
0,0,"pig","intermediate",0,0,"liquid_slurry","Manure mgmt system","Percent","1.5","1.5","1.5","1.5","1.5"
0,0,"pig","intermediate",0,0,"liquid_slurry_crust","Manure mgmt system","Percent","1.5","1.5","1.5","1.5","1.5"
0,0,"pig","intermediate",0,0,"anaerobic_lagoon","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"pig","intermediate",0,0,"pitstorage_less1month","Manure mgmt system","Percent","1","1","1","1","1"
0,0,"pig","intermediate",0,0,"pitstorage_greater1month","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"pig","intermediate",0,0,"pitstorage_greater1month_chickens","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"pig","intermediate",0,0,"anaerobic_digester","Manure mgmt system","Percent","3","3","3","3","3"
0,0,"pig","intermediate",0,0,"composting","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"pig","intermediate",0,0,"burned_fuel","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"pig","intermediate",0,0,"poultry_with_litter","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"pig","industrial",0,0,"pasture","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"pig","industrial",0,0,"daily_spread","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"pig","industrial",0,0,"solid_storage","Manure mgmt system","Percent","6","6","6","6","6"
0,0,"pig","industrial",0,0,"dry_lot","Manure mgmt system","Percent","84","84","84","84","84"
0,0,"pig","industrial",0,0,"liquid_slurry","Manure mgmt system","Percent","4.5","4.5","4.5","4.5","4.5"
0,0,"pig","industrial",0,0,"liquid_slurry_crust","Manure mgmt system","Percent","4.5","4.5","4.5","4.5","4.5"
0,0,"pig","industrial",0,0,"anaerobic_lagoon","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"pig","industrial",0,0,"pitstorage_less1month","Manure mgmt system","Percent","1","1","1","1","1"
0,0,"pig","industrial",0,0,"pitstorage_greater1month","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"pig","industrial",0,0,"pitstorage_greater1month_chickens","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"pig","industrial",0,0,"anaerobic_digester","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"pig","industrial",0,0,"composting","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"pig","industrial",0,0,"burned_fuel","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"pig","industrial",0,0,"poultry_with_litter","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"pig","0",0,0,"0","Bo","m3CH4/kg VS","0.29","0.29","0.29","0.29","0.29"
0,0,"pig","backyard",0,0,"0","prop_yard","fraction of year","0","0","0","0","0"
0,0,"pig","intermediate",0,0,"0","prop_yard","fraction of year","0","0","0","0","0"
0,0,"pig","industrial",0,0,"0","prop_yard","fraction of year","0","0","0","0","0"
0,0,"pig","0",0,0,"0","prop_TAN","fraction","0.7","0.7","0.7","0.7","0.7"
0,0,"pig","0",0,0,"0","ef_house_slurry","fraction of TAN","0.27","0.27","0.27","0.27","0.27"
0,0,"pig","0",0,0,"0","ef_house_solid","fraction of TAN","0.23","0.23","0.23","0.23","0.23"
0,0,"pig","0",0,0,"0","ef_yard","fraction of TAN","0.53","0.53","0.53","0.53","0.53"
0,0,"pig","0",0,0,"0","ef_storage_slurry_nh3","fraction of TAN","0.11","0.11","0.11","0.11","0.11"
0,0,"pig","0",0,0,"0","ef_storage_solid_nh3","fraction of TAN","0.29","0.29","0.29","0.29","0.29"
0,0,"pig","0",0,0,"0","ef_storage_slurry_no","fraction of TAN","1e-04","1e-04","1e-04","1e-04","1e-04"
