"country","scenario","species","crop","variable","units","y_2014","y_2015","y_2016","y_2017","y_2018"
NA,NA,"Alcohol","Beer","Fraction Consumption Waste","fraction","0","0","0","0","0"
NA,NA,"Alcohol","Beer","Fraction food supply consumed","fraction","0.00723533891850724","0.00741897696212417","0.00736148779542813","0.00669554942890902","0.0046656298600311"
NA,NA,"Alcohol","Beer","Fraction food supply wasted","fraction","0","0","0","0","0"
NA,NA,"Alcohol","Beer","kcal per tonne","kcal per tonne","479267.449896337","479267.449896337","491843.971631206","485904.463586531","477644.492911668"
NA,NA,"Alcohol","Wine","Fraction Consumption Waste","fraction","0","0","0","0","0"
NA,NA,"Alcohol","Wine","Fraction food supply consumed","fraction","0","0","0","0","0"
NA,NA,"Alcohol","Wine","Fraction food supply wasted","fraction","0","0","0","0","0"
NA,NA,"Alcohol","Wine","kcal per tonne","kcal per tonne","0","0","0","0","0"
NA,NA,"Alcohol","Beverages, Alcoholic","Fraction Consumption Waste","fraction","0","0","0","0","0"
NA,NA,"Alcohol","Beverages, Alcoholic","Fraction food supply consumed","fraction","0.000380807311500381","0.000390472471690746","0.000387446726075165","0.000393855848759354","0.000388802488335925"
NA,NA,"Alcohol","Beverages, Alcoholic","Fraction food supply wasted","fraction","0","0","0","0","0"
NA,NA,"Alcohol","Beverages, Alcoholic","kcal per tonne","kcal per tonne","4055555.55555556","4055555.55555556","4562500","4562500","4562500"
NA,NA,"Alcohol","Beverages, Fermented","Fraction Consumption Waste","fraction","0","0","0","0","0"
NA,NA,"Alcohol","Beverages, Fermented","Fraction food supply consumed","fraction","0.00571210967250571","0.00156188988676298","0.00154978690430066","0.00157542339503742","0.00116640746500778"
NA,NA,"Alcohol","Beverages, Fermented","Fraction food supply wasted","fraction","0","0","0","0","0"
NA,NA,"Alcohol","Beverages, Fermented","kcal per tonne","kcal per tonne","378630.705394191","313978.494623656","341121.495327103","353510.895883777","278625.954198473"
NA,NA,"Spices","Pepper","Fraction Consumption Waste","fraction","0.01","0.01","0.01","0.01","0.01"
NA,NA,"Spices","Pepper","Fraction food supply consumed","fraction","0","0","0","0","0"
NA,NA,"Spices","Pepper","Fraction food supply wasted","fraction","0","0","0","0","0"
NA,NA,"Spices","Pepper","kcal per tonne","kcal per tonne","NaN","NaN","NaN","NaN","NaN"
NA,NA,"Spices","Pimento","Fraction Consumption Waste","fraction","0.01","0.01","0.01","0.01","0.01"
NA,NA,"Spices","Pimento","Fraction food supply consumed","fraction","0.00113099771515613","0.00115970324092151","0.00115071677644324","0.00116975187081528","0.0011547433903577"
NA,NA,"Spices","Pimento","Fraction food supply wasted","fraction","1.14242193450114e-05","1.17141741507224e-05","1.16234017822549e-05","1.18156754627806e-05","1.16640746500778e-05"
NA,NA,"Spices","Pimento","kcal per tonne","kcal per tonne","3318181.81818182","3318181.81818182","3318181.81818182","3421875","3421875"
NA,NA,"Spices","Cloves","Fraction Consumption Waste","fraction","0.01","0.01","0.01","0.01","0.01"
NA,NA,"Spices","Cloves","Fraction food supply consumed","fraction","0","0","0","0","0"
NA,NA,"Spices","Cloves","Fraction food supply wasted","fraction","0","0","0","0","0"
NA,NA,"Spices","Cloves","kcal per tonne","kcal per tonne","NaN","NaN","NaN","NaN","NaN"
NA,NA,"Spices","Spices, Other","Fraction Consumption Waste","fraction","0.01","0.01","0.01","0.01","0.01"
NA,NA,"Spices","Spices, Other","Fraction food supply consumed","fraction","0.00376999238385377","0.00386567746973838","0.00345215032932972","0.00350925561244585","0.00346423017107309"
NA,NA,"Spices","Spices, Other","Fraction food supply wasted","fraction","3.80807311500381e-05","3.90472471690746e-05","3.48702053467648e-05","3.54470263883419e-05","3.49922239502333e-05"
NA,NA,"Spices","Spices, Other","kcal per tonne","kcal per tonne","3578431.37254902","3543689.32038835","3386597.93814433","3352040.81632653","3386597.93814433"
NA,NA,"Infant","Infant food","Fraction Consumption Waste","fraction","0","0","0","0","0"
NA,NA,"Infant","Infant food","Fraction food supply consumed","fraction","0","0","0","0","0"
NA,NA,"Infant","Infant food","Fraction food supply wasted","fraction","0","0","0","0","0"
NA,NA,"Infant","Infant food","kcal per tonne","kcal per tonne","0","0","0","0","0"
NA,NA,"Other_sugar","Sweeteners, Other","Fraction Consumption Waste","fraction","0","0","0","0","0"
NA,NA,"Other_sugar","Sweeteners, Other","Fraction food supply consumed","fraction","0.0019040365575019","0.00195236235845373","0.00154978690430066","0.00157542339503742","0.00116640746500778"
NA,NA,"Other_sugar","Sweeteners, Other","Fraction food supply wasted","fraction","0","0","0","0","0"
NA,NA,"Other_sugar","Sweeteners, Other","kcal per tonne","kcal per tonne","2370129.87012987","2683823.52941176","2561403.50877193","3244444.44444444","4055555.55555556"
