"country","scenario","sex","age","disease","risk","variable","tmrel","increment","units","y_2014","y_2015","y_2016","y_2017","y_2018"
0,0,"Male","25-29","Breast cancer","Diet high in red meat","Relative Risk",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Male","25-29","Breast cancer","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Male","25-29","Breast cancer","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Female","25-29","Breast cancer","Diet high in red meat","Relative Risk",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Female","25-29","Breast cancer","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Female","25-29","Breast cancer","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Male","25-29","Colon and rectum cancer","Diet high in red meat","Relative Risk",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Male","25-29","Colon and rectum cancer","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Male","25-29","Colon and rectum cancer","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Female","25-29","Colon and rectum cancer","Diet high in red meat","Relative Risk",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Female","25-29","Colon and rectum cancer","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Female","25-29","Colon and rectum cancer","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Male","25-29","Ischemic heart disease","Diet high in red meat","Relative Risk",23,65,"g/day","1.12","1.12","1.12","1.12","1.12"
0,0,"Male","25-29","Ischemic heart disease","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.12","1.12","1.12","1.12","1.12"
0,0,"Male","25-29","Ischemic heart disease","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.12","1.12","1.12","1.12","1.12"
0,0,"Female","25-29","Ischemic heart disease","Diet high in red meat","Relative Risk",23,65,"g/day","1.12","1.12","1.12","1.12","1.12"
0,0,"Female","25-29","Ischemic heart disease","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.12","1.12","1.12","1.12","1.12"
0,0,"Female","25-29","Ischemic heart disease","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.12","1.12","1.12","1.12","1.12"
0,0,"Male","25-29","Ischemic stroke","Diet high in red meat","Relative Risk",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Male","25-29","Ischemic stroke","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Male","25-29","Ischemic stroke","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Female","25-29","Ischemic stroke","Diet high in red meat","Relative Risk",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Female","25-29","Ischemic stroke","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Female","25-29","Ischemic stroke","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Male","25-29","Intracerebral hemorrhage","Diet high in red meat","Relative Risk",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Male","25-29","Intracerebral hemorrhage","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Male","25-29","Intracerebral hemorrhage","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Female","25-29","Intracerebral hemorrhage","Diet high in red meat","Relative Risk",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Female","25-29","Intracerebral hemorrhage","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Female","25-29","Intracerebral hemorrhage","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Male","25-29","Subarachnoid hemorrhage","Diet high in red meat","Relative Risk",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Male","25-29","Subarachnoid hemorrhage","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Male","25-29","Subarachnoid hemorrhage","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Female","25-29","Subarachnoid hemorrhage","Diet high in red meat","Relative Risk",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Female","25-29","Subarachnoid hemorrhage","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Female","25-29","Subarachnoid hemorrhage","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Male","25-29","Diabetes mellitus type 2","Diet high in red meat","Relative Risk",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Male","25-29","Diabetes mellitus type 2","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Male","25-29","Diabetes mellitus type 2","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Female","25-29","Diabetes mellitus type 2","Diet high in red meat","Relative Risk",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Female","25-29","Diabetes mellitus type 2","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Female","25-29","Diabetes mellitus type 2","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Male","25-29","Cardiovascular diseases","Diet high in red meat","Relative Risk",23,65,"g/day","1.12","1.12","1.12","1.12","1.12"
0,0,"Male","25-29","Cardiovascular diseases","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.12","1.12","1.12","1.12","1.12"
0,0,"Male","25-29","Cardiovascular diseases","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.12","1.12","1.12","1.12","1.12"
0,0,"Female","25-29","Cardiovascular diseases","Diet high in red meat","Relative Risk",23,65,"g/day","1.12","1.12","1.12","1.12","1.12"
0,0,"Female","25-29","Cardiovascular diseases","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.12","1.12","1.12","1.12","1.12"
0,0,"Female","25-29","Cardiovascular diseases","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.12","1.12","1.12","1.12","1.12"
0,0,"Male","25-29","Stroke","Diet high in red meat","Relative Risk",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
