"country","year","risk","disease","age","sex","mean","median","p2.5","p97.5"
NA,NA,"overweight","Acute lymphoid leukemia","25-29","male",0.196270917043341,0.197141032964979,0.117278934269288,0.262524429793354
NA,NA,"overweight","Acute lymphoid leukemia","30-34","male",0.0547062310991801,0.054771056699496,0.0338307726850409,0.0733857618133115
NA,NA,"overweight","Acute lymphoid leukemia","35-39","male",0.0556877019016896,0.0557041562691991,0.0365553742978178,0.0736303792392008
NA,NA,"overweight","Acute lymphoid leukemia","40-44","male",0.107109906521173,0.106746079436901,0.0689887822042933,0.145637289806566
NA,NA,"overweight","Acute lymphoid leukemia","45-49","male",0.101583141166637,0.10212123728806,0.0671237831850684,0.135181258853482
NA,NA,"overweight","Acute lymphoid leukemia","50-54","male",0.120102736887938,0.119606723365341,0.0790833361864385,0.159339351532828
NA,NA,"overweight","Acute lymphoid leukemia","55-59","male",0.220837338131132,0.220819074105535,0.138367640800599,0.300103523882434
NA,NA,"overweight","Acute lymphoid leukemia","60-64","male",0.123737138823175,0.12497636540001,0.0793443674756013,0.165846242232904
NA,NA,"overweight","Acute lymphoid leukemia","65-69","male",0.137852779322333,0.138181696295832,0.0847363941374732,0.185332787247427
NA,NA,"overweight","Acute lymphoid leukemia","70-74","male",0.0479411932695455,0.0480799072250171,0.0311346214098788,0.0643323251204414
NA,NA,"overweight","Acute lymphoid leukemia","75-79","male",0.0720397803638143,0.0721668622472986,0.0462077709728541,0.0975499507798352
NA,NA,"overweight","Acute lymphoid leukemia","80-84","male",0.0207806786068283,0.0206807704068176,0.0136255281713687,0.0283197765253858
NA,NA,"overweight","Acute lymphoid leukemia","85-89","male",0.0052305735893494,0.00528241245188092,0.00314157975696646,0.00707691286811768
NA,NA,"overweight","Acute lymphoid leukemia","90-94","male",0.000799641980261802,0.000800990412404153,0.000494170497428207,0.00107594189541855
NA,NA,"overweight","Acute lymphoid leukemia","95-99","male",0,0,0,0
NA,NA,"overweight","Acute lymphoid leukemia","100+","male",0,0,0,0
NA,NA,"overweight","Acute myeloid leukemia","25-29","male",0.153255513041756,0.153949587369756,0.0973950581160084,0.210052073630646
NA,NA,"overweight","Acute myeloid leukemia","30-34","male",0.0958675313289574,0.09646370082755,0.0622788534741862,0.129065252394167
NA,NA,"overweight","Acute myeloid leukemia","35-39","male",0.428155294600341,0.428114029399965,0.258750364208009,0.573684209262205
NA,NA,"overweight","Acute myeloid leukemia","40-44","male",0.660186401038022,0.657170182312392,0.430141231808808,0.884345578270627
NA,NA,"overweight","Acute myeloid leukemia","45-49","male",0.250735078239026,0.252271285004171,0.162698141628859,0.331807431587419
NA,NA,"overweight","Acute myeloid leukemia","50-54","male",0.267860556502023,0.27071421430734,0.1671884523206,0.350826688041385
NA,NA,"overweight","Acute myeloid leukemia","55-59","male",0.377855363711408,0.379023265061045,0.248532814162444,0.498974099979829
NA,NA,"overweight","Acute myeloid leukemia","60-64","male",0.276006741526045,0.277772483011133,0.175859290972036,0.365807123354796
NA,NA,"overweight","Acute myeloid leukemia","65-69","male",0.225317186095889,0.2254689050035,0.143700397471305,0.310770293561129
NA,NA,"overweight","Acute myeloid leukemia","70-74","male",0.078713735008647,0.079058187709589,0.0511720964529336,0.104888778864148
NA,NA,"overweight","Acute myeloid leukemia","75-79","male",0.120952545320114,0.121593014738861,0.0756296450752109,0.163310998963257
NA,NA,"overweight","Acute myeloid leukemia","80-84","male",0.0347986692650497,0.0347714691981648,0.0221380738195966,0.0468471159779539
NA,NA,"overweight","Acute myeloid leukemia","85-89","male",0.00886674739122728,0.00886875574894293,0.00582790132909224,0.0119964755353953
