"Item","country","year","species","kcal_consumed","g_consumed","kcal_wasted","g_wasted","Type_1","Type_2","Type_3"
"Aquatic Animals, Others","Nigeria",2018,"Aquatic Animals, Others",0,NA,0,NA,"Animal","Seafood","Seafood"
"Beer","Nigeria",2018,"Beer",12,25.1232876712329,0,0,"Vegetal","Alcohol","Alcohol"
"Beverages, Alcoholic","Nigeria",2018,"Beverages, Alcoholic",0.999999999999999,0.219178082191781,0,0,"Vegetal","Alcohol","Alcohol"
"Beverages, Fermented","Nigeria",2018,"Beverages, Fermented",3.00000000000001,10.7671232876713,0,0,"Vegetal","Alcohol","Alcohol"
"Cassava and products","Nigeria",2018,"Cassava and products",286.159999999999,349.551232876711,5.83999999999999,7.13369863013697,"Vegetal","Roots","Roots"
"cattle","Nigeria",2018,"cattle",9.8,5.34301369863013,0.2,0.109041095890411,NA,NA,NA
"Cephalopods","Nigeria",2018,"Cephalopods",0,NA,0,NA,"Animal","Seafood","Seafood"
"Cereals, Other","Nigeria",2018,"Cereals, Other",2.97,0.949315068493152,0.0300000000000001,0.00958904109589044,"Vegetal","Cereals","Cereals"
"chicken","Nigeria",2018,"chicken",1.96,2.89972602739726,0.04,0.0591780821917808,NA,NA,NA
"Citrus, Other","Nigeria",2018,"Citrus, Other",12.74,47.4427397260273,0.260000000000001,0.968219178082194,"Vegetal","Fruits","Fruits"
"Coconut Oil","Nigeria",2018,"Coconut Oil",1.98,0.189863013698631,0.02,0.00191780821917809,"Vegetal","Vegoils","Vegoils"
"Coconuts - Incl Copra","Nigeria",2018,"Coconuts - Incl Copra",2.97,1.87150684931507,0.0300000000000001,0.0189041095890412,"Vegetal","Oilcrops","Oilcrops"
"Cottonseed Oil","Nigeria",2018,"Cottonseed Oil",1.98,0.216986301369863,0.02,0.00219178082191781,"Vegetal","Vegoils","Vegoils"
"Crustaceans","Nigeria",2018,"Crustaceans",0,NA,0,NA,"Animal","Seafood","Seafood"
"dairy","Nigeria",2018,"dairy",12.987,3.64019178082192,0.013,0.00364383561643836,NA,NA,NA
"Demersal Fish","Nigeria",2018,"Demersal Fish",1.96,5.10136986301371,0.04,0.104109589041096,"Animal","Seafood","Seafood"
"eggs","Nigeria",2018,"eggs",9.99999999999999,8.19178082191778,NA,NA,NA,NA,NA
"Fats, Animals, Raw","Nigeria",2018,"Fats, Animals, Raw",5.88,0.483287671232875,0.12,0.0098630136986301,"Animal","Animal Fats","Animal Fats"
"Fish, Body Oil","Nigeria",2018,"Fish, Body Oil",0,NA,0,NA,"Animal","Animal Fats","Animal Fats"
"Fish, Liver Oil","Nigeria",2018,"Fish, Liver Oil",0,NA,0,NA,"Animal","Animal Fats","Animal Fats"
"Freshwater Fish","Nigeria",2018,"Freshwater Fish",6.86000000000001,9.8268493150685,0.14,0.20054794520548,"Animal","Seafood","Seafood"
"Fruits, Other","Nigeria",2018,"Fruits, Other",15.2,37.2712328767124,0.799999999999999,1.96164383561644,"Vegetal","Fruits","Fruits"
"Groundnut Oil","Nigeria",2018,"Groundnut Oil",40.59,4.52958904109589,0.409999999999999,0.0457534246575341,"Vegetal","Vegoils","Vegoils"
"Groundnuts (Shelled Eq)","Nigeria",2018,"Groundnuts (Shelled Eq)",43.56,11.4460273972603,0.44,0.115616438356164,"Vegetal","Oilcrops","Oilcrops"
