"country","year","sector","subsector","species","mgmt","animal","pollutant","units","value"
"Nigeria",2018,"livestock","enteric fermentation","cattle","mixed","beef","CH4","kg y-1",636831776.637547
"Nigeria",2018,"livestock","enteric fermentation","cattle","mixed","dairy","CH4","kg y-1",145342731.407271
"Nigeria",2018,"livestock","enteric fermentation","cattle","grassland","beef","CH4","kg y-1",49818742.8520107
"Nigeria",2018,"livestock","enteric fermentation","cattle","grassland","dairy","CH4","kg y-1",8141178.53630836
"Nigeria",2018,"livestock","enteric fermentation","sheep","mixed","non-dairy","CH4","kg y-1",522293902.86503
"Nigeria",2018,"livestock","enteric fermentation","sheep","mixed","dairy","CH4","kg y-1",0
"Nigeria",2018,"livestock","enteric fermentation","sheep","grassland","non-dairy","CH4","kg y-1",25556342.4796087
"Nigeria",2018,"livestock","enteric fermentation","sheep","grassland","dairy","CH4","kg y-1",0
"Nigeria",2018,"livestock","enteric fermentation","pig","backyard","all","CH4","kg y-1",4035451.42547333
"Nigeria",2018,"livestock","enteric fermentation","pig","intermediate","all","CH4","kg y-1",152721.232332629
"Nigeria",2018,"livestock","enteric fermentation","pig","industrial","all","CH4","kg y-1",543091.28504431
"Nigeria",2018,"livestock","enteric fermentation","chicken","backyard","all","CH4","kg y-1",0
"Nigeria",2018,"livestock","enteric fermentation","chicken","layers","all","CH4","kg y-1",0
"Nigeria",2018,"livestock","enteric fermentation","chicken","broilers","all","CH4","kg y-1",0
"Nigeria",2018,"livestock","manure management","cattle","mixed","beef","CH4","kg y-1",22184372.7638724
"Nigeria",2018,"livestock","manure management","cattle","mixed","dairy","CH4","kg y-1",6954181.19988615
"Nigeria",2018,"livestock","manure management","cattle","grassland","beef","CH4","kg y-1",1719935.25176917
"Nigeria",2018,"livestock","manure management","cattle","grassland","dairy","CH4","kg y-1",382256.274431427
"Nigeria",2018,"livestock","manure management","sheep","mixed","non-dairy","CH4","kg y-1",23786430.3101461
"Nigeria",2018,"livestock","manure management","sheep","mixed","dairy","CH4","kg y-1",0
"Nigeria",2018,"livestock","manure management","sheep","grassland","non-dairy","CH4","kg y-1",1163892.88873343
"Nigeria",2018,"livestock","manure management","sheep","grassland","dairy","CH4","kg y-1",0
"Nigeria",2018,"livestock","manure management","pig","backyard","all","CH4","kg y-1",73981643.1405409
"Nigeria",2018,"livestock","manure management","pig","intermediate","all","CH4","kg y-1",228552.899982489
"Nigeria",2018,"livestock","manure management","pig","industrial","all","CH4","kg y-1",1168361.04459319
"Nigeria",2018,"livestock","manure management","chicken","backyard","all","CH4","kg y-1",2861575.79940186
"Nigeria",2018,"livestock","manure management","chicken","layers","all","CH4","kg y-1",6185768.19227372
"Nigeria",2018,"livestock","manure management","chicken","broilers","all","CH4","kg y-1",201338.144419991
"Nigeria",2018,"livestock","manure management","cattle","mixed","beef","N2O","kg y-1",8680080.91702066
"Nigeria",2018,"livestock","manure management","cattle","mixed","dairy","N2O","kg y-1",2705216.53312561
"Nigeria",2018,"livestock","manure management","cattle","grassland","beef","N2O","kg y-1",605374.106584974
"Nigeria",2018,"livestock","manure management","cattle","grassland","dairy","N2O","kg y-1",136832.832047239
