"country","year","sector","subsector","variable","units","value"
"Nigeria",2018,"Apples and products",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Apples and products",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Apples and products",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Apples and products",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Apples and products",NA,"yield","kg ha-1 y-1",NA
"Nigeria",2018,"Apples and products",NA,"land area","ha",0
"Nigeria",2018,"Apples and products",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Apples and products",NA,"NUE","fraction",NA
"Nigeria",2018,"Apples and products",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Bananas",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Bananas",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Bananas",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Bananas",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Bananas",NA,"yield","kg ha-1 y-1",NA
"Nigeria",2018,"Bananas",NA,"land area","ha",0
"Nigeria",2018,"Bananas",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Bananas",NA,"NUE","fraction",NA
"Nigeria",2018,"Bananas",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Barley and products",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Barley and products",NA,"above ground residue","kg y-1",590
"Nigeria",2018,"Barley and products",NA,"below ground residue","kg y-1",129.8
"Nigeria",2018,"Barley and products",NA,"total residue burned","kg y-1",147.5
"Nigeria",2018,"Barley and products",NA,"yield","kg ha-1 y-1",NA
"Nigeria",2018,"Barley and products",NA,"land area","ha",0
"Nigeria",2018,"Barley and products",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Barley and products",NA,"NUE","fraction",NA
"Nigeria",2018,"Barley and products",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Beans",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Beans",NA,"above ground residue","kg y-1",324680
"Nigeria",2018,"Beans",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Beans",NA,"total residue burned","kg y-1",81170
"Nigeria",2018,"Beans",NA,"yield","kg ha-1 y-1",Inf
"Nigeria",2018,"Beans",NA,"land area","ha",0
"Nigeria",2018,"Beans",NA,"N surplus","kg N y-1",-Inf
"Nigeria",2018,"Beans",NA,"NUE","fraction",Inf
"Nigeria",2018,"Beans",NA,"ymax","kg N y-1",-Inf
"Nigeria",2018,"Cassava and products",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Cassava and products",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Cassava and products",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Cassava and products",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Cassava and products",NA,"yield","kg ha-1 y-1",4583.24168516455
"Nigeria",2018,"Cassava and products",NA,"land area","ha",6667820
"Nigeria",2018,"Cassava and products",NA,"N surplus","kg N y-1",-638.212243573106
"Nigeria",2018,"Cassava and products",NA,"NUE","fraction",30.3099961711252
"Nigeria",2018,"Cassava and products",NA,"ymax","kg N y-1",-9171698.13799926
"Nigeria",2018,"Cereals, Other",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Cereals, Other",NA,"above ground residue","kg y-1",79334538.906514
"Nigeria",2018,"Cereals, Other",NA,"below ground residue","kg y-1",17453598.5594331
"Nigeria",2018,"Cereals, Other",NA,"total residue burned","kg y-1",19833634.7266285
"Nigeria",2018,"Cereals, Other",NA,"yield","kg ha-1 y-1",Inf
"Nigeria",2018,"Cereals, Other",NA,"land area","ha",0
"Nigeria",2018,"Cereals, Other",NA,"N surplus","kg N y-1",-Inf
"Nigeria",2018,"Cereals, Other",NA,"NUE","fraction",Inf
"Nigeria",2018,"Cereals, Other",NA,"ymax","kg N y-1",-Inf
